descricao,fipeid_marca,,fipeid_modelo,tipoveiculo
BMW,7,X3 M50 XDRIVE 3.0 V6 AUT. (HÍBRIDO),11382,0
BMW,7,X3 XDRIVE 30E M SP LAUNCH ED. TB (HÍB.),10075,0
BMW,7,X3 XDRIVE 30E M SPORT TURBO AUT. (HÍB.),10076,0
BMW,7,X3 XDRIVE 30E TURBO AUT. (HÍBRIDO),10077,0
BMW,7,X3 XDRIVE 30E X-LINE TURBO AUT. (HÍB.),10078,0
BMW,7,X4 M40I 3.0 M SPORT EDITIONTURBO AUT.,10871,0
BMW,7,X4 M40I 3.0 TURBO 388CV AUT.,9927,0
BMW,7,X4 XDRIVE 20I M-SPORT 2.0 TB 184CV AUT,11302,0
BMW,7,X4 XDRIVE 30I M-SPORT 2.0 TB 252CV AUT,10872,0
BMW,7,X5 M COMPETITION 4.4 V8 BI-TB AUT.,9535,0
BMW,7,X5 XDRIVE 45E 3.0 M.SPORT AUT. (HÍB.),10079,0
BMW,7,X5 XDRIVE 50E 3.0 M SPORT AUT. (HIBRIDO),10765,0
BMW,7,X5 XDRIVE 50E 3.0 X-LINE AUT. (HIBRIDO),10766,0
BMW,7,X5 XDRIVE 50I 4.4 BI-TURBO,5357,0
BMW,7,X5 XDRIVE M50I 4.4 BI-TURBO AUT.,9206,0
BMW,7,X6 M COMPETITION 4.4 V8 BI-TB 625CV AUT.,9565,0
BMW,7,X6 M COMPETITION 4.4 V8 BI-TB (HIB) AUT.,10788,0
BMW,7,X6 XDRIVE 40I BL.VERMILLION 3.0 BI-TURBO,9883,0
BMW,7,X6 XDRIVE 40I M SPORT 3.0 BI-TB (HIB.),10767,0
BMW,7,X6 XDRIVE 40I M SPORT 3.0 BI-TURBO,9037,0
BMW,7,X7 M50I 4.4 V8 BI-TB AUT.,9038,0
BMW,7,X7 M50I DARK SHADOW 4.4 V8 BI-TB AUT.,9362,0
BMW,7,X7 M60I 4.4 V8 BI-TB AUT.(HÍBRIDO),10893,0
BRP,150,CAN-AM COMMANDER MAX DPS 1000R,10789,1
BRP,150,CAN-AM DEFEN. 976 MAX LTD HD10 4X4 (UTV),11142,1
BRP,150,CAN-AM DEFENDER 650 DPS HD7 4X4 (UTV),10768,1
BRP,150,CAN-AM DEFENDER 650 MAX HD7 4X4 (UTV),10417,1
BRP,150,CAN-AM DEFENDER 800 MAX DPS 4X4 (UTV),8758,1
BRP,150,CAN-AM DEFENDER 976 MAX DPS 4X4 (UTV),10418,1
BRP,150,CAN-AM DEFENDER 976 MAX HD9 4X4 (UTV),10419,1
BRP,150,CAN-AM DS 90 4X2 QUADRICICLO,8429,1
BRP,150,CAN-AM MAVERICK MAX XRS 1000 4X4 (UTV),9069,1
BRP,150,CAN-AM MAVERICK R XRS 999T DCT (UTV),11143,1
BRP,150,CAN-AM MAVERICK SPORT DPS 1000 4X4 (UTV),9099,1
BRP,150,CAN-AM MAVERICK TRAIL DPS 4X4 (UTV),8676,1
BRP,150,CAN-AM MAVERICK X3 MAX DS TB 900 R (UTV),9309,1
BRP,150,CAN-AM MAVERICK X3 MAX DS TURBO (UTV),9363,1
BRP,150,CAN-AM MAVERICK X3 RS TURBO R(UTV),9364,1
BRP,150,CAN-AM MAVERICK X3 XRC 900 TB RR (UTV),9236,1
BRP,150,CAN-AM MAVERICK X3 XRS TB 900 RR (UTV),9310,1
BRP,150,CAN-AM MAVER. X3 MAX XRS TB 900 RR (UTV),9308,1
BRP,150,CAN-AM OULTLAND. MAX LTD 1000R 4X4 QUAD.,9566,1
BRP,150,CAN-AM OUTLANDER 450 4X4 QUADRICICLO,9365,1
BRP,150,CAN-AM OUTLANDER 570 4X4 QUADRICICLO,8430,1
BRP,150,CAN-AM OUTLANDER MAX 570 4X4 QUADRICICLO,8431,1
BRP,150,CAN-AM OUTLANDER MAX XT 700 4X4 QUADR.,11051,1
BRP,150,CAN-AM OUTLANDER MAX XT 850 4X4 QUADR.,7644,1
BRP,150,CAN-AM OUTLANDER X MR 1000/1000R 4X4,10082,1
BRP,150,CAN-AM OUTLANDER X MR 570 4X4 QUADR.,8432,1
BRP,150,CAN-AM OUTLANDER XT-P1000 4X4 QUADR.,7280,1
BUELL,117,1125CR,5012,1
BUELL,117,1125R,4678,1
BUGRE,123,BUGGY VII/VII BIG/VII FLEX,5190,0
BULL,212,BM-S 180,9410,1
BULL,212,BM-T180,9411,1
BULL,212,CAFÉ RACER B31,9412,1
BULL,212,CICLO CITY VELOCE 1000W (ELÉTRICA),9413,1
BULL,212,EKO CITY 1200W (ELÉTRICA),9414,1
BULL,212,EKO HUNTER 2000W (ELÉTRICA),9415,1
BULL,212,EKO SPORT 1200W (ELÉTRICA),9416,1
BULL,212,GTR 250,9419,1
BULL,212,KHRISMA 50,9420,1
BULL,212,KRC F5-LX 50,9421,1
BULL,212,KRC LIV-50,9422,1
BULL,212,MAXX KRC50,9423,1
BULL,212,NOW 125,9424,1
BULL,212,SPIRIT SE 50,9425,1
BYCRISTO,69,TRICICLO STAR II TOP / SUPER TOP/FLEX,10131,1
BYD,238,D1 EV (ELÉTRICO),9902,0
BYD,238,DOLPHIN EV (ELÉTRICO),10813,0
BYD,238,DOLPHIN MINI (ELÉTRICO),10986,0
BYD,238,DOLPHIN PLUS (ELÉTRICO),10878,0
BYD,238,ET3 (ELÉTRICO),9831,0
BYD,238,HAN EV (ELÉTRICO),9860,0
BYD,238,KING GL 1.5 16V AUT. (HIBRIDO),11078,0
BYD,238,KING GS 1.5 16V AUT. (HIBRIDO),11079,0
BYD,238,SEAL (ELÉTRICO),10833,0
BYD,238,SHARK GS 1.5 16V 4X4 AUT. (HÍBRIDO),11277,0
BYD,238,SONG PLUS 1.5 16V AUT. (HIBRIDO),11084,0
BYD,238,SONG PLUS PREMIUM 1.5 16V AUT. (HIBRIDO),11299,0
BYD,238,SONG PRO GL 1.5 16V AUT. (HIBRIDO),11106,0
BYD,238,SONG PRO GS 1.5 16V AUT. (HIBRIDO),11107,0
BYD,238,TAN EV 4X4 (ELÉTRICO),9775,0
BYD,238,YUAN PLUS (ELÉTRICO),10184,0
BYD,238,YUAN PRO (ELÉTRICO),11199,0
CAB MOTORS,236,STARK MOUNTAIM 2.3 AWD TDI DIESEL 3P,9561,0
CAB MOTORS,236,STARK SUPERAÇÃO 2.3 AWD 2.3 TDI DIE. 3P,9562,0
CAOA CHERY,245,ARRIZO 6 PRO 1.5 TURBO FLEX AUT.,9628,0
CAOA CHERY,245,ARRIZO 6 PRO 1.5 TURBO (HÍBRIDO),10133,0
CAOA CHERY,245,ICAR EQ1 TECH (ELÉTRICO),9862,0
CAOA CHERY,245,TIGGO 3X PLUS 1.0 TURBO FLEX AUT.,9532,0
CAOA CHERY,245,TIGGO 3X PRO 1.0 TURBO FLEX AUT.,9533,0
CAOA CHERY,245,TIGGO 5X PRO 1.5 TURBO FLEX AUT.,9749,0
CAOA CHERY,245,TIGGO 5X PRO 1.5 TURBO (HÍBRIDO),10067,0
CAOA CHERY,245,TIGGO 5X PRO MAX DRIVE1.5 TB (HÍBRIDO),10742,0
CAOA CHERY,245,TIGGO 5X SPORT 1.5 TURBO FLEX AUT.,10743,0
CAOA CHERY,245,TIGGO 7 PRO 1.5 TURBO (HÍBRIDO),10068,0
CAOA CHERY,245,TIGGO 7 PRO 1.6 TURBO 16V AUT.,9681,0
CAOA CHERY,245,TIGGO 7 PRO MAX DRIVE 1.5 TB (HIBRIDO),10764,0
CAOA CHERY,245,TIGGO 7 PRO MAX DRIVE 1.6 TURBO 16V AUT.,10114,0
CAOA CHERY,245,TIGGO 7 SPORT 1.5 TURBO FLEX 16V AUT.,10998,0
CAOA CHERY,245,TIGGO 8 FOUNDER S EDITION 1.6 TGDI AUT.,9924,0
CAOA CHERY,245,TIGGO 8 MAX DRIVE 1.6 TURBO AUT.,10182,0
CAOA CHERY,245,TIGGO 8 PRO 1.5 TURBO (HÍBRIDO),9925,0
CAOA CHERY,245,TIGGO 8 PRO 1.6 TGDI AUT.,11198,0
CAOA CHERY/CHERY,161,ARRIZO 5E (ELÉTRICO),9299,0
CAOA CHERY/CHERY,161,ARRIZO 5 RT 1.5 TURBO FLEX AUT.,9039,0
CAOA CHERY/CHERY,161,ARRIZO 5 RTS 1.5 TURBO FLEX AUT.,9040,0
CAOA CHERY/CHERY,161,ARRIZO 5 RX 1.5 16V TURBO FLEX AUT.,8513,0
CAOA CHERY/CHERY,161,ARRIZO 5 RXS 1.5 TURBO FLEX AUT.,9262,0
CAOA CHERY/CHERY,161,ARRIZO 5 RXT 1.5 16V TURBO FLEX AUT.,8514,0
CAOA CHERY/CHERY,161,ARRIZO 6 GSX 1.5 TURBO FLEX AUT.,9106,0
CAOA CHERY/CHERY,161,CELER HATCH 1.5 16V FLEX 5P,6379,0
CAOA CHERY/CHERY,161,CELER HATCH ACT 1.5 16V FLEX 5P,7222,0
CAOA CHERY/CHERY,161,CELER SEDAN 1.5 16V FLEX 5P,6380,0
CAOA CHERY/CHERY,161,CELER SEDAN ACT 1.5 16V FLEX 5P,7223,0
CAOA CHERY/CHERY,161,CIELO 1.6 16V 119CV 5P,5208,0
CAOA CHERY/CHERY,161,CIELO SEDAN 1.6 16V 119CV 4P,5209,0
CAOA CHERY/CHERY,161,FACE 1.3 16V/1.3 16V FLEX.MEC.,5210,0
CAOA CHERY/CHERY,161,QQ 1.0 ACT 12V 69CV 5P,7089,0
CAOA CHERY/CHERY,161,QQ 1.0 ACT FL 12V/1.0 12V FLEX 5P,7224,0
CAOA CHERY/CHERY,161,QQ 1.0 LOOK FL 12V/1.0 12V FLEX 5P,7225,0
CAOA CHERY/CHERY,161,QQ 1.0 SMILE 12V FLEX 5P,7902,0
CAOA CHERY/CHERY,161,QQ 1.1/1.0 12V 69CV 5P,5534,0
CAOA CHERY/CHERY,161,S-18 1.3 16V FLEX MEC. 5P,5740,0
