"descricao","fipeid_marca","","fipeid_modelo","tipoveiculo"
ASTON MARTIN,"189",VANQUISH V12 6.0 565CV,"6909",0
ASTON MARTIN,"189",VANTAGE 6.0 V12 510CV,"6342",0
ASTON MARTIN,"189",VANTAGE COUPE 4.7 V8 425CV,"6343",0
ASTON MARTIN,"189",VANTAGE ROADSTER 4.7 V8 420CV,"6344",0
ASTON MARTIN,"189",VANTAGE S 6.0 V12 565CV,"6908",0
ASTON MARTIN,"189",VANTAGE S COUPE 4.7 V8 430CV,"6345",0
ASTON MARTIN,"189",VIRAGE COUPE 6.0 V12 490CV,"6346",0
ATALA,"63",CALIFFONE 50CC,"2614",1
ATALA,"63",MASTER 50CC,"2615",1
ATALA,"63",SKEGIA 50CC,"2616",1
AUDI,"6","100 2.8 V6","43",0
AUDI,"6","100 2.8 V6 AVANT","44",0
AUDI,"6","100 S-4 2.2 AVANT TURBO","45",0
AUDI,"6","80 2.0","46",0
AUDI,"6","80 2.0 AVANT","47",0
AUDI,"6","80 2.6/ 2.8","48",0
AUDI,"6","80 2.6/2.8 AVANT","49",0
AUDI,"6","80 2.8 CABRIOLET","50",0
AUDI,"6","80 S2 AVANT","51",0
AUDI,"6",A1 1.4 TFSI 122CV S-TRONIC 3P,"5496",0
AUDI,"6",A1 2.0 TFSI QUATTRO 256CV 3P,"6293",0
AUDI,"6",A1 SPORT 1.4 TFSI 185CV 3P S-TRONIC,"6143",0
AUDI,"6",A1 SPORT. S EDITION 1.4 TFSI 5P S-TRONIC,"7727",0
AUDI,"6",A1 SPORTBACK 1.4 TFSI 185CV 5P S-TRONIC,"6201",0
AUDI,"6",A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,"6200",0
AUDI,"6",A1 SPORTBACK 1.8 TFSI 192CV 5P S-TRONIC,"7418",0
AUDI,"6",A3 1.6 3P,"52",0
AUDI,"6",A3 1.6 3P AUT.,"53",0
AUDI,"6",A3 1.6 5P,"54",0
AUDI,"6",A3 1.6 5P AUT.,"55",0
AUDI,"6",A3 1.6 8V 102CV 3P,"4154",0
AUDI,"6",A3 1.8 3P,"56",0
AUDI,"6",A3 1.8 3P AUT.,"57",0
